name,종별코드명,doctors,lon,lat
(VOM)봄안과의원,의원,3,128.6918945,35.8698515
(사) 경찰공제회 포항의원,의원,1,129.3929037,35.9423171
(사)경찰공제회남부의원,의원,1,126.7088609,37.3849097
(사)대한결핵협회경기도지부부설복십자의원,의원,1,127.0089662,37.2719839
(사)대한결핵협회부산광역시지부 복십자의원,의원,2,129.0988754,35.1371668
(사)대한결핵협회전북특별자치도지부 복십자의원,의원,1,127.1548587,35.8476997
(사)대한산업보건협회 부설 한마음의원,의원,0,126.9599347,37.3572562
(사)대한산업보건협회 전북지역본부 전북의원,의원,6,127.0738726,35.8683951
(사)대한산업보건협회남부산의원,의원,5,128.8992233,35.0885623
(사)대한신장복지회 대신의원,의원,3,127.4928855,36.6648232
(사)모퉁이복지재단 인천재활의원,의원,2,126.6686433,37.4518788
(사)인구보건복지협회 가족보건의원,의원,4,128.5558143,35.8690138
(사)인구보건복지협회 부산시지회 가족보건의원,의원,3,129.1089758,35.1441223
(사)인구보건복지협회 서울지회 가족보건의원,의원,2,127.0832305,37.5650801
(사)인구보건복지협회 충북세종지회 가족보건의원,의원,3,127.4495123,36.6329595
(사)인구보건복지협회경기도지회가족보건의원,의원,3,127.0082598,37.2711545
(사)인구보건복지협회전북지회가족보건의원,의원,5,127.1481155,35.8448419
(사)한국건강관리협회 중앙검사본부 중앙검사의원,의원,14,126.8533871,37.5565711
(사)한국건강관리협회건강증진의원,의원,23,127.0135657,37.297116
(사)한국건강관리협회건강증진의원,의원,15,128.5798566,35.2243835
(사)한국건강관리협회건강증진의원,의원,23,127.1216255,35.8411572
(사)한국뇌전증협회로빈슨기념의원,의원,1,126.9654931,37.5547039
(사)한국한센복지협회부산지부 부설복지의원,의원,2,128.9777379,35.0788382
(사)한국한센복지협회서울특별시지부부설의원,의원,2,126.938053,37.5040794
(사)한국한센복지협회제주특별자치도지부부설복지피부과의원,의원,1,126.4960596,33.4858518
(사단법인)한국건강관리협회건강증진의원,의원,28,126.8885102,35.1489274
(사회복지법인)한국혈우재단광주의원,의원,1,126.8836528,35.1591076
(스카이메디)연세건강증진내과의원,의원,1,127.1107656,37.5007984
(의) 내경의료재단 울산제일병원,병원,12,129.307013,35.548283
(의) 열린의료재단 강동열린의원,의원,1,127.1326141,37.5352302
(의) 열린의료재단 대구열린의원,의원,2,128.5927741,35.8650479
(의) 열린의료재단 동대문열린의원,의원,1,127.0148389,37.573106
(의) 열린의료재단 상봉열린의원,의원,1,127.0859888,37.5959148
(의) 열린의료재단 서면열린의원,의원,1,129.060166,35.159633
(의) 열린의료재단 서초열린의원,의원,1,127.0165951,37.4942268
(의) 열린의료재단 성남열린의원,의원,1,127.1404742,37.4437912
(의) 열린의료재단 안산열린의원,의원,1,126.865096,37.3013964
(의) 열린의료재단 연산열린의원,의원,3,129.0806502,35.1854186
(의) 열린의료재단 연신내열린의원,의원,1,126.9202336,37.619775
(의) 열린의료재단 영등포열린의원,의원,1,126.90606,37.5165276
(의) 열린의료재단 은평열린의원,의원,1,126.9164939,37.6112912
(의) 열린의료재단 이천열린의원,의원,1,127.4578251,37.2955614
(의) 열린의료재단 정다운의원,의원,1,127.5199811,34.9632557
(의) 열린의료재단 참사랑의원,의원,1,126.9901981,37.2849205
(의) 열린의료재단 혜화열린의원,의원,1,127.0182308,37.5941649
(의)가산의료재단 광동병원,병원,17,127.0621662,37.5142863
(의)경빈의료재단 김해센텀병원,병원,5,128.8692937,35.2393008
(의)나사렛의료재단 나사렛국제병원,종합병원,59,126.6704928,37.407958
(의)미래의료재단리드림의원,의원,10,127.0588976,37.5079982
(의)밀성학원의료재단 성모요양병원,요양병원,5,128.8980324,35.2281381
(의)삼세의료재단 몸사랑내과의원,의원,1,129.0392387,35.0919114
(의)서봉의료재단 보강병원,병원,15,128.5256832,35.8137187
(의)서일의료재단기장병원,병원,14,129.2169211,35.2357991
(의)성광의료재단 차여성의원,의원,21,126.9737678,37.5555057
(의)성광의료재단 차움의원,의원,22,127.0441055,37.5233218
(의)성광의료재단차움건진의원,의원,18,127.0582386,37.5077819
(의)성덕의료재단 간절곶자연병원,병원,1,129.3226471,35.3667274
(의)성세의료재단 뉴성민병원,종합병원,37,126.6698519,37.5097753
(의)소명의료재단한빛사랑의원,의원,1,129.0440698,35.0920732
(의)수의료재단 서청솔요양병원,요양병원,7,128.8507902,35.2240003
(의)수지의료재단 용인수지병원,병원,2,127.0848582,37.3168605
(의)열린의료재단 강남열린의원,의원,1,127.0488528,37.4869601
(의)열린의료재단 구로열린의원,의원,0,126.8918971,37.4977614
(의)열린의료재단 미아열린의원,의원,1,127.0252592,37.6275922
(의)열린의료재단 분당열린의원,의원,1,127.1228552,37.3842675
(의)열린의료재단 예인의원,의원,2,126.8429031,37.5672569
(의)열린의료재단광주열린의원,의원,1,127.2602217,37.4093602
(의)영님의료재단 개금중앙요양병원,요양병원,6,129.0247268,35.153754
(의)영문의료재단 다보스병원,종합병원,38,127.2114648,37.2314883
(의)유일재단 하나애병원,병원,5,127.2135214,37.219342
(의)인석의료재단 보람병원,병원,28,129.3410075,35.5425577
(의)케이씨엘의료재단 한국의원,의원,15,127.1280278,37.5278247
(의)피터의료재단새소망요양병원,요양병원,4,129.226905,35.2228262
(의)현당의료재단 늘봄요양병원,요양병원,5,127.0658441,37.3010717
(의)환명의료재단 경상남도립김해노인전문병원,요양병원,6,128.8610034,35.2616213
(의)효심의료재단 용인서울병원,병원,14,127.2145364,37.2403912
(재) 사랑의 장기기증 운동본부 사랑의 의원,의원,1,126.6093724,33.2728028
(재)대한불교관음종 대동의원,의원,1,128.9913235,35.2378524
(재)대한불교관음종 참조은의원,의원,0,126.3925066,34.8033743
(재)미리내천주성삼성직수도회천주성삼병원,종합병원,25,128.7057102,35.8402518
(재)서울의과학연구소 에스씨엘(SCL)대구의원,의원,3,128.6369142,35.8728631
(재)서울의과학연구소에스씨엘(SCL)제주의원,의원,2,126.4372224,33.4926598
(재)씨젠의료재단 씨젠광주의원,의원,9,126.8943347,35.1019593
(재)씨젠의료재단 씨젠대구의원,의원,10,128.6488462,35.8578918
(재)씨젠의료재단 씨젠대전의원,의원,7,127.3814474,36.3677018
(재)예수의꽃동네유지재단 인곡자애병원,병원,5,127.5776409,36.941804
(재)이랜드재단 이랜드의원,의원,7,126.8815811,37.4819131
(재)일신기독교선교회 정관일신기독병원,병원,18,129.1774513,35.3197034
(재)천주교서울대교구유지재단 전진상의원,의원,2,126.9107378,37.4525764
(재)한국산업보건연구재단 서울DMC건강의원 포항분원,의원,1,129.4002373,35.9753328
(재)한국산업보건환경연구소부설우리의원,의원,2,127.0321182,37.7466927
(재)한국산업의학연구소 부설 나노메디의원,의원,2,126.8978236,37.4712439
(재)한국의학연구소 KMI경기의원,의원,29,127.0346348,37.2505455
(재)한국의학연구소 제주의원,의원,7,126.5597717,33.2836459
(재)한국의학연구소대구분사무소부설의원,의원,21,128.5939661,35.8614112
(재)한국의학연구소한국중부의원,의원,42,126.9761544,37.5695724
(재단법인)한국의학연구소광주의원,의원,21,126.848919,35.1521051
(주)LG화학부속의원,의원,1,127.6524013,34.8039602
(주)녹십자홀딩스부속의원,의원,1,127.1004266,37.3177715
(주)루트로닉부속의원,의원,0,126.8475968,37.6132816
(주)제이시스메디칼부속의원,의원,0,127.0211992,37.5125495
(주)포스코부속의원,의원,3,129.3875613,35.9953456
(주)하나은행부속의원,의원,1,126.9818658,37.5664918
(홍인의료소비자생활협동조합)우리현대의원,의원,1,127.2836943,37.2347125
000의원,의원,1,127.0224917,37.5076446
100년재생의원,의원,1,126.3979131,34.8058741
10년전당신의오늘의원,의원,1,127.0457468,37.5236241
111의원,의원,1,127.020708,37.5169652
123내과의원,의원,3,126.9248,35.1722489
123의원,의원,1,127.0650701,37.4977415
153신경외과의원,의원,1,126.7198133,37.4563267
